,datetime,station,core,component,period,value,grade
0,2022-12-06T14:00:00+01:00,mc010,,co,8h,,
1,2022-12-06T14:00:00+01:00,mc014,,co,8h,,
2,2022-12-06T14:00:00+01:00,mc018,,co,8h,,
3,2022-12-06T14:00:00+01:00,mc027,,co,8h,,
4,2022-12-06T14:00:00+01:00,mc032,,co,8h,,
5,2022-12-06T14:00:00+01:00,mc042,,co,8h,,
6,2022-12-06T14:00:00+01:00,mc077,,co,8h,,
7,2022-12-06T14:00:00+01:00,mc085,,co,8h,,
8,2022-12-06T14:00:00+01:00,mc115,,co,8h,,
9,2022-12-06T14:00:00+01:00,mc117,,co,8h,1.0,1.0
10,2022-12-06T14:00:00+01:00,mc124,,co,8h,,
11,2022-12-06T14:00:00+01:00,mc143,,co,8h,,
12,2022-12-06T14:00:00+01:00,mc145,,co,8h,,
13,2022-12-06T14:00:00+01:00,mc171,,co,8h,,
14,2022-12-06T14:00:00+01:00,mc174,,co,8h,1.0,1.0
15,2022-12-06T14:00:00+01:00,mc190,,co,8h,,
16,2022-12-06T14:00:00+01:00,MC221,,co,8h,,
17,2022-12-06T14:00:00+01:00,mc282,,co,8h,,
18,2022-12-12T16:00:00+01:00,mc010,,co,8h,,
19,2022-12-12T16:00:00+01:00,mc014,,co,8h,,
20,2022-12-12T16:00:00+01:00,mc018,,co,8h,,
21,2022-12-12T16:00:00+01:00,mc027,,co,8h,,
22,2022-12-12T16:00:00+01:00,mc032,,co,8h,,
23,2022-12-12T16:00:00+01:00,mc042,,co,8h,,
24,2022-12-12T16:00:00+01:00,mc077,,co,8h,,
25,2022-12-12T16:00:00+01:00,mc085,,co,8h,,
26,2022-12-12T16:00:00+01:00,mc115,,co,8h,,
27,2022-12-12T16:00:00+01:00,mc117,,co,8h,1.0,1.0
28,2022-12-12T16:00:00+01:00,mc124,,co,8h,,
29,2022-12-12T16:00:00+01:00,mc143,,co,8h,,
30,2022-12-12T16:00:00+01:00,mc145,,co,8h,,
31,2022-12-12T16:00:00+01:00,mc171,,co,8h,,
32,2022-12-12T16:00:00+01:00,mc174,,co,8h,1.0,1.0
33,2022-12-12T16:00:00+01:00,mc190,,co,8h,,
34,2022-12-12T16:00:00+01:00,MC221,,co,8h,,
35,2022-12-12T16:00:00+01:00,mc282,,co,8h,,
36,2022-12-13T11:00:00+01:00,mc010,,co,8h,,
37,2022-12-13T11:00:00+01:00,mc014,,co,8h,,
38,2022-12-13T11:00:00+01:00,mc018,,co,8h,,
39,2022-12-13T11:00:00+01:00,mc027,,co,8h,,
40,2022-12-13T11:00:00+01:00,mc032,,co,8h,,
41,2022-12-13T11:00:00+01:00,mc042,,co,8h,,
42,2022-12-13T11:00:00+01:00,mc077,,co,8h,,
43,2022-12-13T11:00:00+01:00,mc085,,co,8h,,
44,2022-12-13T11:00:00+01:00,mc115,,co,8h,,
45,2022-12-13T11:00:00+01:00,mc117,,co,8h,1.0,1.0
46,2022-12-13T11:00:00+01:00,mc124,,co,8h,,
47,2022-12-13T11:00:00+01:00,mc143,,co,8h,,
48,2022-12-13T11:00:00+01:00,mc145,,co,8h,,
49,2022-12-13T11:00:00+01:00,mc171,,co,8h,,
50,2022-12-13T11:00:00+01:00,mc174,,co,8h,1.0,1.0
51,2022-12-13T11:00:00+01:00,mc190,,co,8h,,
