,datetime,station,core,component,period,value,grade
0,2022-12-06T14:00:00+01:00,mc010,,lqi,1h,2.0,2.0
1,2022-12-06T14:00:00+01:00,mc014,,lqi,1h,0.0,0.0
2,2022-12-06T14:00:00+01:00,mc018,,lqi,1h,0.0,0.0
3,2022-12-06T14:00:00+01:00,mc027,,lqi,1h,0.0,0.0
4,2022-12-06T14:00:00+01:00,mc032,,lqi,1h,-1.0,-1.0
5,2022-12-06T14:00:00+01:00,mc042,,lqi,1h,2.0,2.0
6,2022-12-06T14:00:00+01:00,mc077,,lqi,1h,2.0,2.0
7,2022-12-06T14:00:00+01:00,mc085,,lqi,1h,3.0,3.0
8,2022-12-06T14:00:00+01:00,mc115,,lqi,1h,0.0,0.0
9,2022-12-06T14:00:00+01:00,mc117,,lqi,1h,3.0,3.0
10,2022-12-06T14:00:00+01:00,mc124,,lqi,1h,3.0,3.0
11,2022-12-06T14:00:00+01:00,mc143,,lqi,1h,3.0,3.0
12,2022-12-06T14:00:00+01:00,mc145,,lqi,1h,0.0,0.0
13,2022-12-06T14:00:00+01:00,mc171,,lqi,1h,3.0,3.0
14,2022-12-06T14:00:00+01:00,mc174,,lqi,1h,3.0,3.0
15,2022-12-06T14:00:00+01:00,mc190,,lqi,1h,3.0,3.0
16,2022-12-06T14:00:00+01:00,MC221,,lqi,1h,3.0,3.0
17,2022-12-06T14:00:00+01:00,mc282,,lqi,1h,0.0,0.0
18,2022-12-08T11:00:00+01:00,mc010,,lqi,1h,2.0,2.0
19,2022-12-08T11:00:00+01:00,mc014,,lqi,1h,2.0,2.0
20,2022-12-08T11:00:00+01:00,mc018,,lqi,1h,1.0,1.0
21,2022-12-08T11:00:00+01:00,mc027,,lqi,1h,1.0,1.0
22,2022-12-08T11:00:00+01:00,mc032,,lqi,1h,1.0,1.0
23,2022-12-08T11:00:00+01:00,mc042,,lqi,1h,2.0,2.0
24,2022-12-08T11:00:00+01:00,mc077,,lqi,1h,2.0,2.0
25,2022-12-08T11:00:00+01:00,mc085,,lqi,1h,2.0,2.0
26,2022-12-08T11:00:00+01:00,mc115,,lqi,1h,2.0,2.0
27,2022-12-08T11:00:00+01:00,mc117,,lqi,1h,2.0,2.0
28,2022-12-08T11:00:00+01:00,mc124,,lqi,1h,2.0,2.0
29,2022-12-08T11:00:00+01:00,mc143,,lqi,1h,2.0,2.0
30,2022-12-08T11:00:00+01:00,mc145,,lqi,1h,-1.0,-1.0
31,2022-12-08T11:00:00+01:00,mc171,,lqi,1h,2.0,2.0
32,2022-12-08T11:00:00+01:00,mc174,,lqi,1h,2.0,2.0
33,2022-12-08T11:00:00+01:00,mc190,,lqi,1h,2.0,2.0
34,2022-12-08T11:00:00+01:00,MC221,,lqi,1h,2.0,2.0
35,2022-12-08T11:00:00+01:00,mc282,,lqi,1h,2.0,2.0
36,2022-12-12T16:00:00+01:00,mc010,,lqi,1h,2.0,2.0
37,2022-12-12T16:00:00+01:00,mc014,,lqi,1h,2.0,2.0
38,2022-12-12T16:00:00+01:00,mc018,,lqi,1h,0.0,0.0
39,2022-12-12T16:00:00+01:00,mc027,,lqi,1h,0.0,0.0
40,2022-12-12T16:00:00+01:00,mc032,,lqi,1h,2.0,2.0
41,2022-12-12T16:00:00+01:00,mc042,,lqi,1h,2.0,2.0
42,2022-12-12T16:00:00+01:00,mc077,,lqi,1h,2.0,2.0
43,2022-12-12T16:00:00+01:00,mc085,,lqi,1h,2.0,2.0
44,2022-12-12T16:00:00+01:00,mc115,,lqi,1h,2.0,2.0
45,2022-12-12T16:00:00+01:00,mc117,,lqi,1h,2.0,2.0
46,2022-12-12T16:00:00+01:00,mc124,,lqi,1h,2.0,2.0
47,2022-12-12T16:00:00+01:00,mc143,,lqi,1h,2.0,2.0
48,2022-12-12T16:00:00+01:00,mc145,,lqi,1h,2.0,2.0
49,2022-12-12T16:00:00+01:00,mc171,,lqi,1h,2.0,2.0
50,2022-12-12T16:00:00+01:00,mc174,,lqi,1h,-1.0,-1.0
51,2022-12-12T16:00:00+01:00,mc190,,lqi,1h,2.0,2.0
52,2022-12-12T16:00:00+01:00,MC221,,lqi,1h,2.0,2.0
53,2022-12-12T16:00:00+01:00,mc282,,lqi,1h,0.0,0.0
54,2022-12-13T11:00:00+01:00,mc010,,lqi,1h,2.0,2.0
55,2022-12-13T11:00:00+01:00,mc014,,lqi,1h,2.0,2.0
56,2022-12-13T11:00:00+01:00,mc018,,lqi,1h,0.0,0.0
57,2022-12-13T11:00:00+01:00,mc027,,lqi,1h,0.0,0.0
58,2022-12-13T11:00:00+01:00,mc032,,lqi,1h,2.0,2.0
59,2022-12-13T11:00:00+01:00,mc042,,lqi,1h,2.0,2.0
60,2022-12-13T11:00:00+01:00,mc077,,lqi,1h,2.0,2.0
61,2022-12-13T11:00:00+01:00,mc085,,lqi,1h,2.0,2.0
62,2022-12-13T11:00:00+01:00,mc115,,lqi,1h,0.0,0.0
63,2022-12-13T11:00:00+01:00,mc117,,lqi,1h,2.0,2.0
64,2022-12-13T11:00:00+01:00,mc124,,lqi,1h,3.0,3.0
65,2022-12-13T11:00:00+01:00,mc143,,lqi,1h,2.0,2.0
66,2022-12-13T11:00:00+01:00,mc145,,lqi,1h,0.0,0.0
67,2022-12-13T11:00:00+01:00,mc171,,lqi,1h,2.0,2.0
68,2022-12-13T11:00:00+01:00,mc174,,lqi,1h,3.0,3.0
69,2022-12-13T11:00:00+01:00,mc190,,lqi,1h,2.0,2.0
70,2022-12-13T11:00:00+01:00,MC221,,lqi,1h,2.0,2.0
71,2022-12-13T11:00:00+01:00,mc282,,lqi,1h,2.0,2.0
72,2022-12-14T15:00:00+01:00,mc010,,lqi,1h,3.0,3.0
